Epoch 118, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 119, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 120, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 121, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 122, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 123, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 124, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 125, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 126, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 127, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 128, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 129, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 130, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 131, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 132, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 133, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 134, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 135, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 136, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 137, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 138, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 139, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
